OBJECTID,Folder,Image,Object,Confidence,frame_idx,Latitude,Longitude,Photo_Link,Field9,Field10,Field11,Field12,Z
701,,image81.jpg,Lamp_Post,0.448026747,81,31.099295,29.9786,C:\Road_Project\inference_data\nan\image81.jpg,,,,,104.7
702,,image81.jpg,Lamp_Post,0.339009106,81,31.09929333,29.97858333,C:\Road_Project\inference_data\nan\image81.jpg,,,,,105
703,,image82.jpg,Clear,0,82,31.09929167,29.97857,C:\Road_Project\inference_data\nan\image82.jpg,,,,,105.3
704,,image83.jpg,Clear,0,83,31.09929167,29.97855667,C:\Road_Project\inference_data\nan\image83.jpg,,,,,105.9
705,,image84.jpg,Clear,0,84,31.09929667,29.978545,C:\Road_Project\inference_data\nan\image84.jpg,,,,,106.9
706,,image85.jpg,Crack,0.931013346,85,31.09929833,29.97852667,C:\Road_Project\inference_data\nan\image85.jpg,,,,,107.8
707,,image85.jpg,Crack,0.665382087,85,31.09930167,29.97851,C:\Road_Project\inference_data\nan\image85.jpg,,,,,108
708,,image85.jpg,Crack,0.415817767,85,31.09930167,29.97849,C:\Road_Project\inference_data\nan\image85.jpg,,,,,108.1
709,,image85.jpg,Crack,0.255061805,85,31.09929333,29.97847,C:\Road_Project\inference_data\nan\image85.jpg,,,,,108.2
710,,image85.jpg,Crack,0.226691693,85,31.09929333,29.97845,C:\Road_Project\inference_data\nan\image85.jpg,,,,,108.5
711,,image86.jpg,Clear,0,86,31.09928667,29.97843,C:\Road_Project\inference_data\nan\image86.jpg,,,,,109
712,,image87.jpg,Crack,0.376737803,87,31.09926667,29.97841333,C:\Road_Project\inference_data\nan\image87.jpg,,,,,109.2
713,,image87.jpg,Crack,0.238726154,87,31.09924333,29.978395,C:\Road_Project\inference_data\nan\image87.jpg,,,,,109.1
714,,image87.jpg,Crack,0.225299403,87,31.09921833,29.97838,C:\Road_Project\inference_data\nan\image87.jpg,,,,,109.3
715,,image88.jpg,Lamp_Post,0.878280103,88,31.09919,29.97836667,C:\Road_Project\inference_data\nan\image88.jpg,,,,,109.4
716,,image88.jpg,Lamp_Post,0.568914056,88,31.09917,29.978355,C:\Road_Project\inference_data\nan\image88.jpg,,,,,109.5
